Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Gambia, The",GMB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,76.7923229873,76.998762029,77.2125286051,77.4333019283,77.6607395519,77.8272376732,77.9915668247,..,..,..
"Gambia, The",GMB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.0088782857,96.2782419662,96.544758806,97.6414520548,97.9140849592,98.1705496662,98.3944393545,..,..,..
Georgia,GEO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,78.7487186005,78.966014532,79.1809712472,79.3936942652,79.6041510718,79.8126568786,79.9946791952,..,..,..
Germany,DEU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100.0000024034,100,100,100,100,..,..,..
Germany,DEU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.8,99.8,99.8000023986,99.8,99.8,99.8,99.8,..,..,..
Ghana,GHA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,75.3718103483,76.3817829569,77.3929942467,78.4056161256,79.4198192691,80.4357731313,81.4533896761,..,..,..
Ghana,GHA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,26.8747747731,28.3931994315,29.9403155169,31.5159400151,33.1198924294,34.7519949385,36.4116127605,..,..,..
Gibraltar,GIB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,100,100,..,..,..
Gibraltar,GIB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,100,100,100,100,100,100,100,..,..,..
Greece,GRC,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9583947992,99.987912291,100,99.9999956654,100.0000021764,99.999997817,100,..,..,..
Greece,GRC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.8921430301,99.9673101484,100,99.9999956654,100.0000021764,99.999997817,100,..,..,..
Greenland,GRL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100.0000016864,99.9999983112,100.0000016905,99.9999991543,100,99.9999991547,99.9999974672,..,..,..
Greenland,GRL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.3244269117,96.6358029657,96.7589406027,96.756056144,96.7532190099,96.7504132276,96.7476835853,..,..,..
Grenada,GRD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.8631024746,95.9713888869,95.6286504436,95.6286504436,95.6286504436,95.6286504436,95.6286504436,..,..,..
Grenada,GRD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,87.3288481889,87.4274943564,87.1152683517,87.1152683517,87.1152683517,87.1152683517,87.1152683517,..,..,..
